#{"t_start": 1774563021.1454914, "env_id": "None"}
r,l,t
4444.64564,300,31030.125813
19907.965234,1370,31126.151967
4133.454345,300,31146.862945
3540.761478,300,31163.724306
4403.427346,300,31185.54748
9773.020541,766,31228.6401
2832.551911,300,31246.729167
3530.764418,300,31264.099172
5604.158344,601,31300.995584
3524.802891,300,31317.799747
5321.955659,601,31354.088703
3575.9096,300,31371.465951
4330.635363,290,31393.7521
4323.700581,290,31415.942733
5706.674462,601,31451.788007
2777.644872,226,31464.652695
5417.956648,601,31500.391909
4057.573644,300,31517.857391
2817.431588,300,31536.179878
2756.932281,226,31549.158121
4119.040011,300,31569.443981
5726.638837,601,31605.241293
4113.971135,300,31625.682007
2752.740894,226,31638.414501
19906.447079,1370,31734.142493
5603.60835,601,31770.379616
5438.985655,601,31807.549378
2506.594423,300,31825.860941
2748.296379,226,31839.008592
5607.122221,601,31875.748692
19915.080078,1370,31971.124941
4120.34202,300,31991.766383
9752.248441,766,32034.418341
4444.626476,300,32054.992451
5679.523702,601,32092.313796
9735.536836,766,32134.735148
4050.054888,300,32151.633454
19881.733181,1370,32247.960494
3510.475894,300,32264.493367
4321.656073,290,32286.007261
5581.623734,601,32323.018476
4121.740015,300,32343.273893
9751.36329,766,32385.848928
4052.106942,300,32402.916218
4056.242902,300,32419.698833
5546.861545,601,32456.070046
2593.613845,300,32474.472684
4109.916287,300,32494.723423
4321.121602,290,32516.486975
4114.601192,300,32535.903039
4317.997228,290,32558.42928
4046.920692,300,32575.160892
4126.416742,300,32594.659099
3513.441616,300,32611.286015
2496.970309,300,32629.533154
4434.652492,300,32649.733296
4113.141214,300,32670.375195
4407.417141,300,32692.724093
4327.90664,290,32715.36895
4321.968942,290,32736.881747
19878.304126,1370,32832.169349
4401.977017,300,32854.245159
5616.685099,601,32890.691697
4317.104239,290,32912.326601
2754.375719,226,32925.187621
4408.164502,300,32946.766783
